#time-us	inter1	inter2	sxr-Al	sxr-Zr	
1.391063E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.391163E+2	3.875712E-3	-2.024845E-2	-1.249830E-2	-3.748736E-3
1.391263E+2	3.875712E-3	-2.024845E-2	-1.249830E-2	-3.748736E-3
1.391363E+2	3.875712E-3	-2.024845E-2	-1.249830E-2	-3.748736E-3
1.391463E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.391563E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.391663E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.391763E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.391863E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.391963E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392063E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392163E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392263E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392363E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392463E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392563E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392663E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392763E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392863E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.392963E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.393063E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.393163E+2	3.875712E-3	-1.399846E-2	-6.248320E-3	-3.748736E-3
1.393263E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.393363E+2	3.875712E-3	-1.399846E-2	-1.249830E-2	-3.748736E-3
1.393463E+2	3.875712E-3	-1.399846E-2	-6.248320E-3	-3.748736E-3
